,_id,banderaDescripcion,banderaId,comercioId,comercioRazonSocial,direccion,id,lat,lng,localidad,provincia,sucursalId,sucursalNombre,sucursalTipo,geometry
82,5cbc698b7af152186c0cd191,Hipermercado Carrefour,1,10,INC S.A.,Av. Monroe 1655,10-1-271,-34.55398,-58.452838,belgrano,AR-C,271,Belgrano,Hipermercado,POINT (-58.452838 -34.55398)
83,5cbc698b7af152186c0cd192,Express,3,10,INC S.A.,Dr. Rómulo Naón 2401,10-3-374,-34.567331,-58.47278,belgrano,AR-C,374,Rómulo Naón  2401,Autoservicio,POINT (-58.47278 -34.567331)
84,5cbc698b7af152186c0cd193,Supermercados DIA,1,15,DIA Argentina S.A,Av Monroe 1616,15-1-406,-34.5538167,-58.4523061,belgrano,AR-C,406,406 - Belgrano,Autoservicio,POINT (-58.4523061 -34.5538167)
85,5cbc698b7af152186c0cd194,Express,3,10,INC S.A.,Olazábal 5179,10-3-543,-34.576803,-58.486598,villa urquiza,AR-C,543,Olazábal 5179,Autoservicio,POINT (-58.486598 -34.576803)
86,5cbc698b7af152186c0cd195,Vea,1,9,Jumbo Retail Argentina S.A.,Avenida San Martin 6795,9-1-973,-34.5921,-58.5096,villa devoto,AR-C,973,Av. San Martín 6795,Supermercado,POINT (-58.5096 -34.5921)
87,5cbc698b7af152186c0cd196,Market,2,10,INC S.A.,Av. Cabildo 2441,10-2-120,-34.558821,-58.459349,belgrano,AR-C,120,Belgrano Cabildo,Supermercado,POINT (-58.459349 -34.558821)
88,5cbc698b7af152186c0cd197,Supermercados DIA,1,15,DIA Argentina S.A,Av Olazabal 4832,15-1-366,-34.5750195,-58.4833173,villa urquiza,AR-C,366,366 - Villa Urquiza,Autoservicio,POINT (-58.4833173 -34.5750195)
89,5cbc698b7af152186c0cd198,Market,2,10,INC S.A.,Olazábal 4734,10-2-195,-34.574379,-58.482128,villa urquiza,AR-C,195,Olazabal,Supermercado,POINT (-58.482128 -34.574379)
90,5cbc698b7af152186c0cd199,FULL,1,19,Operadora de Estaciones de Servicios S.A.,Avenida Alvarez Thomas 2855,19-1-13323,-34.5736,-58.48028,villa urquiza,AR-C,13323,OLAZABAL,Autoservicio,POINT (-58.48028 -34.5736)
91,5cbc698b7af152186c0cd19a,Supermercados DIA,1,15,DIA Argentina S.A,Cl Amenabar 2369,15-1-324,-34.5606253,-58.4607081,belgrano,AR-C,324,324 - Belgrano,Autoservicio,POINT (-58.4607081 -34.5606253)
92,5cbc698b7af152186c0cd19b,Supermercados DIA,1,15,DIA Argentina S.A,Olazabal 4324,15-1-535,-34.572029,-58.477695,villa urquiza,AR-C,535,535 - Villa Urquiza,Autoservicio,POINT (-58.477695 -34.572029)
93,5cbc698b7af152186c0cd19c,Express,3,10,INC S.A.,Vidal 2357,10-3-325,-34.561751,-58.462283,belgrano,AR-C,325,Vidal 2357,Autoservicio,POINT (-58.462283 -34.561751)
94,5cbc698b7af152186c0cd19d,Supermercados DIA,1,15,DIA Argentina S.A,Cl Andonaegui 2129,15-1-2,-34.5785767,-58.4871575,villa urquiza,AR-C,2,2 - Villa Urquiza,Autoservicio,POINT (-58.4871575 -34.5785767)
